,feature/ exemplar ENGLISH,,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,slingshot,club,machine gun,pistol,shield,spear,stick,tank,rope,double barrelled shotgun,sword,whip
feature / exemplar DUTCH,,freq,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
wordt gebruikt bij paardrijden,used for horse riding,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
wordt gebruikt bij sport,used in sports,19,0,0,2,4,0,2,0,0,0,2,0,1,2,3,0,0,1,1,2,2
wordt gebruikt door criminelen,used by criminals,8,2,1,1,0,3,4,3,0,1,3,4,4,1,0,1,0,2,3,1,0
wordt gebruikt door Dennis The Menace,used by Dennis The Menace,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0
wordt gebruikt door een agent,used by a police officer,5,0,0,0,0,0,3,0,0,0,4,1,3,2,0,1,0,0,0,0,0
wordt gebruikt door een boef,used by crooks,4,0,0,1,0,3,3,1,0,0,2,2,3,0,0,1,0,1,1,0,0
wordt gebruikt door een cowboy,used by cowboys,4,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,3,1,0,2
wordt gebruikt door een hond,used by dogs,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
wordt gebruikt door een houthakker,used by lumber jackers,8,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
wordt gebruikt door indianen,used by indians,12,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
wordt gebruikt door jongens,used by boys,6,1,2,1,2,1,1,1,1,4,1,1,1,2,1,3,1,2,1,1,1
wordt gebruikt door piraten  ,used by pirates,6,0,0,0,0,2,3,0,2,1,1,0,3,0,0,0,0,0,0,2,0
wordt gebruikt door politie,used by police men,23,0,0,0,0,0,3,0,0,0,4,2,3,2,0,1,0,0,0,0,0
wordt gebruikt door ridders,used by knights,28,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,4,0
wordt gebruikt door Robin Hood,used by Robin Hood,7,0,1,0,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0
wordt gebruikt door soldaten,used by soldiers,19,4,0,0,0,0,4,4,2,0,0,4,1,0,0,0,3,0,1,0,0
wordt gebruikt in een gevecht,used in a fight,44,4,1,2,3,2,4,4,2,1,1,4,3,1,2,1,4,1,2,3,1
wordt gebruikt in het leger,used in the army,30,4,0,0,0,1,4,4,3,0,1,4,1,0,0,0,4,1,1,0,0
wordt gebruikt in spelletjes,used in games,7,0,0,0,2,0,2,0,0,3,1,0,1,0,1,3,0,2,0,1,1
wordt gebruikt met pijlen,used with arrows,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gebruikt om bomen om te hakken,used to chop trees,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wordt gebruikt om een overval te plegen,used for hold-ups,4,0,0,0,0,1,4,1,0,0,0,3,4,0,0,0,0,1,2,0,0
wordt gebruikt om iets weg te schieten,used to launch something,8,4,0,0,4,0,4,0,2,4,0,2,2,0,0,0,1,0,3,0,0
wordt gebruikt om oorlog te voeren,used to make war,108,4,0,0,0,1,4,4,3,0,1,4,2,0,0,0,4,1,1,0,0
wordt gebruikt om te jagen,used to hunt,55,0,1,0,4,1,4,0,0,0,2,0,0,0,3,1,0,0,4,0,0
wordt gebruikt om te martelen,used for torturing,6,0,1,1,0,2,0,0,0,0,2,0,0,0,1,2,0,2,0,1,4
wordt gebruikt om te moorden,used for murding,35,3,2,0,2,4,4,3,3,0,3,3,4,0,2,0,2,3,4,3,0
wordt gebruikt om te speerwerpen,used for spear trowing,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
wordt gebruikt om te steken,used for stabbing,12,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
wordt gebruikt om te straffen,used for punishing,10,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,4
wordt gebruikt om te temmen,used for taming,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4
wordt gebruikt voor SM,used for sado masochism,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4
wordt gedragen door een bokser,worn by a boxer,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt gegooid,is thrown,20,0,1,0,0,2,0,3,0,0,0,0,0,0,4,2,0,1,0,0,0
wordt gemaakt van een boom,is made from a tree,9,0,1,0,1,0,0,0,0,2,3,0,0,0,2,4,0,0,0,0,0
wordt geslepen,used for grinding,8,0,4,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0
wordt in de mond gestoken,is put in the mouth,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordt niet veel gebruikt,not used much,4,3,0,3,2,2,0,2,3,3,3,1,0,2,4,1,1,0,1,4,0
wordt weggegooid,is trown away,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0
